entidad_federativa,poblacion,superficie_total,superficie_forestal,superficie_no_forestal,superficie_con_arbolado,superficie_cubierta_por_bosque,superficie_cubierta_por_selva,superficie_cubierta_por_manglar,superficie_cubierta_por_otras_areas_arboladas,superficie_cubierta_por_matorral_xerofilo,superficie_cubierta_por_otras_areas_forestales,superficie_destinada_a_actividades_agricolas_de_humedad,superficie_destinada_a_actividades_agricolas_de_riego,superficie_destinada_a_actividades_agricolas_de_temporal,superficie_cubierta_por_cuerpos_de_agua,superficie_destinada_a_actividades_acuicolas,superficie_de_pastizales_cultivados,superficie_de_pastizales_inducidos,superficie_sin_vegetacion_visible,superficie_desprovista_de_vegetacion,superficie_ocupada_por_asentamientos_humanos
Aguascalientes,1425607,561634.8086,259634.7848,302000.0238,131606.8919,101575.2101,30031.68171,0,0,35700.71877,92327.1742,0,121131.7755,121899.7535,4750.616059,0,99.01053733,30039.80259,0,712.1098023,23366.95579
Baja California Norte,8769020,7313648.682,6299637.143,1014011.539,183490.8024,176522.3164,0,0,6968.485992,5786795.525,329350.816,0,350320.9319,104697.1004,23354.36302,359.1556071,736.7607466,123464.5589,304021.6308,1227.730408,105829.307
Baja California Sur,798447,7461519.565,6818426.016,643093.549,476510.5949,58469.30527,380251.0303,37291.91353,498.3457683,5658129.929,683785.4921,0,186577.2278,415.6706404,265452.851,2185.517724,14162.03734,19993.15987,90931.35812,29567.56876,33808.15725
Campeche,928363,5752087.692,4330835.342,1421252.35,4105551.585,13460.92522,3782854.848,192663.615,116572.1975,0,225283.7565,5116.921412,117991.7719,271664.8432,218782.0465,355.8736925,732212.1712,13756.65,25365.99586,1354.419374,34651.65751
Coahuila,3146771,15162221.84,13742860.65,1419361.19,838558.7178,836629.6729,0,0,1929.044922,11412626.18,1491675.754,1167.643095,492642.1255,264127.7447,37357.79603,0,218294.8639,206565.1196,89613.95719,16757.16242,92834.77625
Colima,731391,577409.4314,323599.4485,253809.9829,308352.4482,54113.66966,249573.876,4664.902544,0,9646.019339,5600.980993,0,101744.8856,67727.49376,9716.398344,518.1567472,44423.97477,9230.331763,2343.346898,1329.39185,16776.00317
Chiapas,5543828,7331417.973,3585555.074,3745862.899,3518601.32,1591903.464,1819327.529,54082.20135,53288.1268,125.632173,66828.12175,0,139974.8827,1540010.691,149805.2012,563.2212123,1484728.503,335368.6321,5412.057534,3161.034911,86838.67553
Chihuahua,3741869,24745286.1,21610804.96,3134481.14,7518052.289,7007289.07,510593.2903,0,169.9287323,8514135.859,5578616.814,139.335428,1209136.718,925812.0545,81471.30796,0,4723.979217,675961.6063,93518.89663,5188.268932,138528.9712
Ciudad de Mexico,9209944,149513.1881,44715.17727,104798.0108,42691.40171,40978.76957,0,0,1712.632146,978.5343586,1045.241195,0,4946.99845,27926.76965,459.7118724,0,460.8852824,5469.447148,143.7096456,0,65390.48877
Durango,1832650,12337542.1,10618110.32,1719431.78,5776769.241,5193060.023,583392.2459,0,316.9722249,2623500.262,2217840.821,0,371141.9353,913810.2688,46113.04142,0,994.7572479,327038.7946,8086.317581,2938.657838,49308.00317
Guanajuato,6166934,3061047.276,1262179.569,1798867.707,720935.5162,477178.7525,243715.4005,0,41.36319706,210912.6043,330331.4482,5724.471288,629095.1613,819577.2819,30782.28495,0,73.44190672,219743.134,2938.509573,1263.377896,89670.04406
Guerrero,3540685,6360000.702,4339165.146,2020835.556,4309697.034,2306850.12,1955112.159,12341.27812,35393.47725,0,29468.11188,0,104753.2219,871944.2036,52320.30147,353.6148663,547761.9969,364639.6613,2368.216193,3513.87644,73180.46312
Hidalgo,3082841,2082445.862,962134.053,1120311.809,661836.2727,545670.3645,115896.8716,0,269.0365957,279624.8792,20672.90112,578.2773223,164072.1721,666657.3917,9604.927124,0,73071.20274,147623.1115,1973.025042,1832.048979,54899.65252
Jalisco,8348151,7860414.735,4546511.5,3313903.235,4115404.803,2366019.611,1733227.21,3642.682842,12515.29878,14664.81439,416441.883,43314.64333,529948.8506,1715591.779,161704.7867,10.68508263,222395.1485,500589.5056,2328.186714,1951.483934,136068.1658
Estado de Mexico,16992418,2235753.745,788503.864,1447249.881,753049.4173,623624.7159,116540.5819,0,12884.11944,17108.79491,18345.65177,17355.88412,265207.0286,691396.4742,20876.20227,0,462.7507324,286469.8727,10352.33491,1306.790911,153822.5424
Michoacan,4748846,5860562.267,3519015.468,2341546.799,3502911.433,1652546.271,1839871.935,1984.663199,8508.562575,3652.02094,12452.01463,14268.20604,738130.0077,835122.4445,83977.12649,0,202256.1604,355603.3083,4775.826225,3086.756733,104326.9623
Morelos,1971520,487977.5277,183780.496,304197.0317,183408.7966,54185.63411,129133.4479,0,89.71458616,246.5009392,125.1985428,0,140831.7214,91458.57499,1517.491428,0,385.6389321,26176.95771,51.45928472,387.1334928,43388.05444
Nayarit,1235456,2810391.683,1918333.334,892058.349,1868006.478,936335.3359,815127.6941,99124.90695,17418.54081,4542.701751,45784.15429,0,232868.6665,329055.1463,54102.50504,10194.5717,41997.3739,180493.1464,4688.638819,294.1765626,38364.12423
Nuevo Leon,5784442,6416327.329,4196112.14,2220215.189,698518.556,687653.6271,10864.92888,0,0,3342697.884,154895.7002,0,334603.6723,495750.033,25678.65884,0,1111558.502,123259.9252,1053.605067,3012.044552,125298.748
Oaxaca,4132148,9376581.998,6692729.994,2683852.004,6609214.909,3714255.441,2767107.36,29412.16386,98439.94393,56966.27705,26548.80758,16412.02832,134988.8695,1338634.504,182035.2019,0,635071.17,255278.1427,19704.02309,832.5074515,100895.5564
Puebla,6583278,3431698.691,1573554.131,1858144.56,1260837.861,620601.0796,622179.7779,0,18057.00306,280642.2949,32073.97557,33.02539259,282304.6266,1187893.852,5828.918106,0,114229.5821,158621.116,9148.700662,1150.421318,98934.31715
Queretaro,2368467,1169158.807,696347.8547,472810.9523,426240.5626,280065.3956,145633.2898,0,541.8771601,261455.8174,8651.474747,297.2474837,84296.04373,260248.6449,4318.94855,0,1326.573245,86019.69122,124.6481678,698.6959294,35480.45926
Quintana Roo,1857985,4336488.617,3877252.915,459235.702,3645812.574,0,3445295.723,188860.1962,11656.6543,0,231440.341,2905.165102,18422.19016,192645.9162,36760.66702,0,143880.459,0,3416.684775,4494.003199,56710.61728
San Luis Potosi,2822255,6114433.139,4248261.253,1866171.886,975148.7524,569355.949,400110.0657,0,5682.737714,2910064.83,363047.6708,3164.635305,273278.8539,1098307.643,18002.20372,0,255210.4496,144921.0778,368.9975334,2117.834714,70800.19037
Sinaloa,3026943,5739457.965,3205202.299,2534255.666,2989642.478,870592.6537,2013372.657,102066.5127,3610.655151,136586.039,78973.78201,0,1171809.503,806806.3691,263623.3491,69176.04363,59813.77206,44901.55247,44067.33325,2010.776307,72046.96612
Sonora,2944840,18066793.28,14947828.6,3118964.68,3795376.143,1973339.456,1806246.635,15492.13902,297.9129306,9818318.753,1334133.703,0,1036101.459,224825.506,96776.89586,49808.96121,889912.2884,588564.0266,136439.0437,7090.660864,89445.84433
Tabasco,2402598,2473532.442,817154.1303,1656378.312,384736.2213,19657.84685,236079.1902,61933.17121,67066.01307,0,432417.909,321.9682879,20885.13791,393797.8301,131267.8706,11.40816466,1075497.487,5014.094859,98.6246796,1763.413556,27720.47616
Tamaulipas,3527735,8027363.214,3823023.045,4204340.169,1453435.734,607746.5879,838563.3574,4721.922522,2403.86575,2126148.545,243438.7662,892.9688341,793889.4283,1475350.637,369018.3822,1263.376747,1377664.497,52750.74618,25579.15175,2076.089446,105854.8914
Tlaxcala,1342977,399704.868,74169.96677,325534.9012,66782.76392,66710.85055,0,0,71.91337197,6315.286126,1071.916722,0,25145.58308,265864.5197,1625.014095,0,0,16616.54341,117.944191,2.062047053,16163.23464
Veracruz,8062579,7183486.481,1471181.313,5712305.168,1234242.735,315966.6948,846457.0476,46956.2315,24862.76101,12667.04541,224271.533,74343.30061,208355.3424,2335806.828,211401.0206,63.66753332,2725582.964,17431.41395,3491.283178,3276.705473,132552.6419
Yucatan,2320898,3953728.06,2694374.543,1259353.517,2660128.545,0,2541686.913,92654.84148,25786.79087,0,34245.9974,0,100954.9454,337039.7237,22749.76488,39.28385141,677032.004,9204.700593,9952.163037,11737.396,90643.53579
Zacatecas,1622138,7528235.126,5224235.25,2303999.876,1438323.347,1084248.013,354075.3341,0,0,2675952.595,1109959.309,0,372850.4711,1639962.592,15461.2704,0,132.066502,220160.9638,2455.660235,5586.301342,47390.55065
