entidad_federativa,poblacion_2020,superficie_entidad_hectareas,total_superficie_forestal_ha,superficie_total_de_bosque_ha,superficie_total_de_selva_ha,superficie_total_de_manglar_ha,superficie_otras_asociaciones_ha,superficie_subtotal_arbolado_ha,superficie_total_matorral_xerofilo_ha,superficie_total_otras_areas_forestales_ha,area_no_forestal_agricultura_de_humedad_ha,area_no_forestal_agricultura_de_riego_ha,area_no_forestal_agricultura_de_temporal_ha,area_no_forestal_cuerpo_de_agua_ha,area_no_forestal_acuicola_ha,area_no_forestal_pastizal_cultivado_ha,area_no_forestal_pastizal_inducido_ha,area_no_forestal_sin_vegetacion_aparente_ha,area_no_forestal_desprovisto_de_vegetacion_ha,area_no_forestal_asentamientos_humanos_ha,total_unidades_de_produccion_forestal,total_hectareas_produccion_forestal,total_unidades_con_superficie_reforestada,unidades_reforestadas_para_restauracion_del_entorno_y_proteccion_del_suelo_y_agua,total_superficie_reforestada_hectareas,superficie_reforestada_para_restauracion_del_entorno_y_proteccion_del_suelo_y_agua,total_unidades_de_produccion_con_superficie_deforestada,total_superficie_deforestada_hectareas,superficie_deforestada_por_causas_naturales,unidades_deforestadas_cambio_de_uso_de_suelo_agricola,superficie_deforestada_cambio_de_uso_de_suelo_agricola,unidades_deforestadas_cambio_de_uso_de_suelo_pastoreo_de_ganado,superficie_deforestada_cambio_de_uso_de_suelo_pastoreo_de_ganado,unidades_deforestadas_cambio_de_uso_de_suelo_habitacional,superficie_deforestada_cambio_de_uso_de_suelo_habitacional,unidades_deforestadas_cambio_de_uso_de_suelo_comercio,superficie_deforestada_cambio_de_uso_de_suelo_comercio,unidades_deforestadas_cambio_de_uso_de_suelo_industria,superficie_deforestada_cambio_de_uso_de_suelo_industria,unidades_deforestadas_cambio_de_uso_de_suelo_servicios,superficie_deforestada_cambio_de_uso_de_suelo_servicios,unidades_deforestadas_cambio_de_uso_de_suelo_forestal,superficie_deforestada_cambio_de_uso_de_suelo_forestal,unidades_deforestadas_cambio_de_uso_de_suelo_otros_usos,superficie_deforestada_cambio_de_uso_de_suelo_otros_usos
Aguascalientes,1425607,561634.8086,259634.7848,101575.2101,30031.68171,0,0,131606.8919,35700.71877,92327.1742,0,121131.7755,121899.7535,4750.616059,0,99.01053733,30039.80259,0,712.1098023,23366.95579,12,16488.6,10,10,256,256,3,103.5,3.5,0,0,0,0,0,0,1,100,0,0,0,0,0,0,2,3.5
Baja California,8769020,7313648.682,6299637.143,176522.3164,0,0,6968.485992,183490.8024,5786795.525,329350.816,0,350320.9319,104697.1004,23354.36302,359.1556071,736.7607466,123464.5589,304021.6308,1227.730408,105829.307,39,483348.234,19,19,1615,1585,4,1002,300,0,0,1,2,0,0,1,100,0,0,0,0,1,600,1,300
Baja California Sur,798447,7461519.565,6818426.016,58469.30527,380251.0303,37291.91353,498.3457683,476510.5949,5658129.929,683785.4921,0,186577.2278,415.6706404,265452.851,2185.517724,14162.03734,19993.15987,90931.35812,29567.56876,33808.15725,25,138652.02,13,13,561.25,561.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,928363,5752087.692,4330835.342,13460.92522,3782854.848,192663.615,116572.1975,4105551.585,0,225283.7565,5116.921412,117991.7719,271664.8432,218782.0465,355.8736925,732212.1712,13756.65,25365.99586,1354.419374,34651.65751,75,296928.3968,22,22,10940,10848.2,10,12352,8062,0,0,1,4000,0,0,3,112,0,0,1,78,4,8122,1,40
Coahuila de Zaragoza,3146771,15162221.84,13742860.65,836629.6729,0,0,1929.044922,838558.7178,11412626.18,1491675.754,1167.643095,492642.1255,264127.7447,37357.79603,0,218294.8639,206565.1196,89613.95719,16757.16242,92834.77625,37,490799.23,28,26,12386,12141,6,20495,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20495,0,0
Colima,731391,577409.4314,323599.4485,54113.66966,249573.876,4664.902544,0,308352.4482,9646.019339,5600.980993,0,101744.8856,67727.49376,9716.398344,518.1567472,44423.97477,9230.331763,2343.346898,1329.39185,16776.00317,3,3488.5,3,3,107.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiapas,5543828,7331417.973,3585555.074,1591903.464,1819327.529,54082.20135,53288.1268,3518601.32,125.632173,66828.12175,0,139974.8827,1540010.691,149805.2012,563.2212123,1484728.503,335368.6321,5412.057534,3161.034911,86838.67553,47,29462.0829,28,27,1361,1345.5,10,502.5,420.5,0,0,0,0,0,0,2,24,0,0,0,0,7,78.5,1,400
Chihuahua,3741869,24745286.1,21610804.96,7007289.07,510593.2903,0,169.9287323,7518052.289,8514135.859,5578616.814,139.335428,1209136.718,925812.0545,81471.30796,0,4723.979217,675961.6063,93518.89663,5188.268932,138528.9712,202,2600148.904,112,97,12716.215,11114.512,107,93018.219,38782.709,9,12447,11,2977.709,0,0,4,1117,0,0,0,0,79,76201.51,4,275
Ciudad de México,9209944,149513.1881,44715.17727,40978.76957,0,0,1712.632146,42691.40171,978.5343586,1045.241195,0,4946.99845,27926.76965,459.7118724,0,460.8852824,5469.447148,143.7096456,0,65390.48877,24,32691.8992,24,19,6392.7,3779.4,4,1836,944,0,0,0,0,0,0,0,0,0,0,0,0,4,1836,0,0
Durango,1832650,12337542.1,10618110.32,5193060.023,583392.2459,0,316.9722249,5776769.241,2623500.262,2217840.821,0,371141.9353,913810.2688,46113.04142,0,994.7572479,327038.7946,8086.317581,2938.657838,49308.00317,789,4000561.218,406,381,18424.0487,16584.478,29,10291.35,5165.96,0,0,3,152,0,0,0,0,0,0,0,0,21,5906.85,5,4232.5
